"SWSN_ID","SWSN_Site","EASTING","NORTHING"
1821,"Reagan",621196.053598925,3484515.9178949
1822,"J. Cowan",620855.822206393,3481826.45136258
1823,"AZ FF:4:6",665166.336155355,3509991.72750542
1824,"AZ CC:6:27",612703.652157634,3625971.70591038
1825,"Webb/McBride",626724.617357492,3511571.92542015
1826,"AZ CC:1:7",598444.621725515,3644006.03707397
1827,"P Ranch Canyon site",622767.83901538,3599641.81395483
1829,"Curtis Ruin(Buena Vista)",638495.095821232,3626077.37028119
1830,"AZ CC:2:2",623829.304361984,3628202.53976841
1831,"Methodist Church",612045.812307253,3642116.88781735
1833,"AZ CC:1:8",604722.002694339,3634392.78573155
1834,"Bandelier Site",603753.991492778,3649892.82762226
1835,"Eden Site",594541.932233319,3656545.80391285
1836,"AZ CC:1:3 (BLM)",601353.541622192,3632068.45588905
1837,"AZ CC:1:3",621069.755798683,3642940.04916523
1838,"Daley Estates Site",618250.175542369,3621126.55890267
1839,"AZ CC:1:9",605324.678817496,3635526.0348874
1840,"AZ CC:6:109",614253.722006679,3620687.27037434
1841,"AZ CC:5:5",598225.315116554,3618712.34991427
1842,"AZ CC:2:33(BLM)",622418.159143358,3622574.06517838
1843,"AZ CC:4:13",666670.825300574,3656048.27006048
1844,"AZ CC:6:29",630121.410284847,3611406.40408535
1845,"AZ CC:4:1",669422.312949985,3633755.40597448
1846,"Eagle Creek Ruin",623373.972258821,3643993.00038305
1847,"Fort Grant Pueblo",593628.80885686,3612158.30280606
1848,"AZ AA:5:49",403408.449597016,3616163.94908254
1849,"AZ AA:5:34",412847.64700149,3619075.55494395
1850,"AZ AA:5:25",410801.67439346,3605981.58929956
1851,"Doelle 435",440930.310837597,3760486.16796413
1852,"Shoofly",477767.187338352,3782776.67348017
1853,"Round Valley",479774.708931342,3789959.86987568
1854,"AZ Z:16:1",405883.399571747,3548997.79600848
1855,"AZ Z:12:1",412578.494572327,3565170.45451638
1856,"Anegam",392764.10477151,3581679.68411756
1857,"Gu Achi",399959.803987667,3572121.93798509
1858,"AZ Z:12:8",387199.270854786,3566862.17821215
1859,"AZ Z:12:6",385560.626537621,3586066.15406212
1860,"AZ AA:5:54",401742.726239085,3598538.19887613
1861,"AZ Z:8:1",380754.24523969,3606273.12432152
1862,"AZ AA:13:28",413862.110671148,3572065.05818662
1863,"AZ AA:5:88",407189.260091901,3607141.80846703
1864,"AZ AA:5:75",410550.736421525,3597572.47672822
1865,"Mercer Ruin",438846.030996323,3756104.03416695
1866,"AZ U:13:93",415175.553927198,3673912.42039639
1867,"Risser Ranch",476813.176544711,3790862.98840728
1868,"AZ U:14:9",444621.20032306,3649016.49693052
1869,"AZ U:14:37",426450.82170178,3674798.60842536
1870,"AZ U:14:18",429993.523995027,3666605.43504122
1871,"AZ U:13:98",412875.262327939,3668569.58041567
1872,"AZ U:13:9",423342.074208826,3677310.31386113
1873,"AZ U:13:80",410733.895616233,3667628.56886177
1874,"AZ U:13:65",412209.101011798,3677746.1987232
1875,"AZ U:13:99",426981.934851155,3655236.58614075
1876,"AZ O:14:22",438523.714942157,3759325.77851766
1877,"AZ O:14:51",435495.052578941,3790295.50941007
1878,"Mayfield Canyon--south",466441.991744921,3803360.63075869
1879,"Besh-Ba-Gowah",527870.71423763,3703984.61265865
1880,"AZ U:13:86",414945.851018205,3677268.00336091
1881,"AZ U:13:75",415454.521416694,3676743.9565255
1882,"AZ U:13:60",414154.72040911,3668390.98723266
1883,"AZ U:13:52",422947.077917576,3674405.41952345
1884,"Bapchule",418209.48478274,3669778.16715467
1885,"AZ U:13:21",420689.029332355,3673547.42342931
1886,"AZ U:13:12",423711.660635546,3666731.43679714
1887,"AZ U:13:118",427969.778823674,3676920.69995983
